Instructor,Course Title,Section,Course ID,Online course materials were organized to help me navigate th…,Online interactions with my instructor created a sense of conne…,Online course interactions created a sense of community and…,I had the necessary computer skills and technology to success…,The syllabus was accurate and helpful in delineating expectati…,Required and additional course materials were helpful in achie…,In-class sessions were helpful for learning.,Out-of-class assignments and/or fieldwork were helpful for lear…,This course was intellectually challenging.,I learned a lot in this course.,The instructor came to class prepared to teach.,The instructor used class time effectively.,The instructor clearly communicated ideas and information.,The instructor provided sufficient feedback.,The instructor fairly evaluated my performance.,The instructor was available to assist students outside of class.,The instructor facilitated a respectful and inclusive learning env…,The instructor displayed enthusiasm for the course.,What is your overall rating of this instructor's teaching effective…,The Syllabus Provided a clear description of course goals and…,The textbook(s) helped me to learn.,"The materials used in this course (lectures, videos, ect.) were…",The assignments and fieldwork helped me to learn.,The lectures helped me to learn.,The course discussions and activities helped me to learn.,The technology used in this course helped me to learn,I found this course intellectually challenging.,I would recommend this course to other students.,I learned to apply course concepts and principles.,I developed additional communication skills in this course.,"I learned to analyze and evaluate ideas, arguments, and points…",Working with my classmates in this course helped me to learn.,I had the necessary technological skills for this course.,Technical support was available when needed.,The amount of interaction with the lead instructor met my learn…,The lead instructor clearly communicated ideas and information.,The lead instructor demonstrated expertise in the subject matter.,The lead instructor clearly stated the objectives of the course.,The lead instructor covered material stated in the course objec…,The section instructor fairly evaluated my performance.,The section instructor provided feedback that was timely and v…,I would recommend this section instructor to other students.,The section instructor treated students with respect.,The section instructor acknowledged and took effective action…,The section instructor was able to address my content questio…,The section instructor displayed enthusiasm for the course.,The amount of interaction with my section instructor met my le…
"Wertheim, Edward",Negotiations,01,21569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chan, Chee",Intro to Business Analytics,01,12637,0.4,0.3,0.5,0.4,0.2,0.4,-0.1,-0.3,-0.1,0.1,0.1,0.1,-0.2,-0.4,-0.3,0.2,-0.3,0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ashley, Katherine",Intro to Business Analytics,07,16035,0.0,0.1,0.1,0.1,0.2,0.4,0.4,0.3,0.0,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liu, Xiaoping",Data Mine/Machine Lrn for Bus,01,12871,-0.3,-0.5,-0.7,-0.5,-0.5,-1.3,-0.8,-0.5,0.1,-0.7,-0.6,-0.6,-0.5,-0.1,0.0,-0.2,-0.3,-0.6,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark, Bruce",Cust Value  the Enterprise,01,12886,0.0,0.2,0.1,0.1,0.1,0.1,0.0,0.2,0.1,0.1,0.0,0.0,0.0,-0.1,0.0,0.1,0.0,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark, Bruce",Cust Value  the Enterprise,02,12887,-0.1,-0.1,-0.2,-0.1,0.0,0.0,0.0,-0.2,-0.1,-0.1,0.0,0.0,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spelsberg, sarah",Expedition  Wilderness Med,01,19957,-0.7,-0.3,0.0,-0.9,-0.6,-0.6,-0.1,-0.5,-0.4,-0.6,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Watkins, Elyse",Healthcare Leadership Seminar,01,16458,0.0,0.0,0.2,-0.1,-0.3,0.1,0.1,-0.2,-0.1,-0.1,-0.2,-0.2,-0.3,-0.4,-0.3,-0.3,-0.3,-0.4,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Watkins, Elyse",Healthcare Leadership Seminar,02,19949,0.3,0.2,0.2,0.1,0.4,0.3,-0.1,0.2,0.2,0.1,0.1,0.1,0.3,0.4,0.3,0.3,0.1,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCoy, Reginald",Healthcare Leadership Seminar,03,22285,0.0,-0.1,-0.2,0.1,-0.1,-0.1,0.1,0.0,-0.1,0.1,0.1,0.3,0.2,0.2,0.4,0.2,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bruce, Robert",Healthcare Leadership Seminar,04,22425,-0.2,0.0,-1.0,0.1,-0.1,-0.1,0.2,0.0,0.1,-0.1,0.0,0.0,-0.1,-0.1,-0.3,-0.1,-0.1,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ricks, Vance",Responsible AI,01,22266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capuzzo, Jenna",Princpls/Hist of Urban Health,03,17118,-0.2,-0.1,-0.1,0.0,-0.1,-0.3,-0.1,0.0,-0.2,-0.1,-0.2,-0.2,-0.2,-0.1,-0.2,-0.4,-0.1,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maniar, Swapnil",Urban Community Health Assess,01,17120,0.3,0.0,0.1,0.1,0.1,0.3,0.1,0.1,0.3,0.1,0.2,0.2,0.3,0.1,0.3,0.3,0.0,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Murray, Robert",Managing Oprs  Supply Chain,01,12937,0.1,0.2,0.2,0.1,0.0,-0.1,0.1,0.2,-0.1,-0.1,0.0,0.0,-0.1,-0.3,-0.2,0.0,-0.1,0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Murray, Robert",Managing Oprs  Supply Chain,02,12936,0.0,-0.1,-0.2,0.0,0.0,0.0,0.0,-0.2,0.1,0.0,-0.1,-0.1,0.2,0.2,0.1,0.1,0.1,-0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Friar, John",Strat Mgmt for Healthcare Org,01,16039,0.2,0.7,0.5,0.0,0.4,0.6,0.7,0.7,0.6,0.8,0.4,0.6,0.5,0.8,1.0,0.5,0.3,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kenyon, Arnold",Advocacy and the Arts,01,61849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, Yue",Financl Accounting  Reporting,01,60603,,,,,,,,,,-0.1,,,,,,,,,,0.2,-0.3,-0.1,-0.1,0.0,0.0,0.1,0.1,0.0,0.0,-0.1,-0.1,-0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,-0.2,-0.2,0.0,0.1,0.0,-0.1,0.0
"Zhang, Yue",Financl Accounting  Reporting,02,61835,,,,,,,,,,0.0,,,,,,,,,,0.0,0.3,0.1,-0.1,0.0,0.4,0.3,0.0,-0.1,0.1,0.4,0.2,0.7,-0.1,0.5,0.0,0.0,-0.1,0.1,0.0,0.1,0.5,0.3,-0.1,0.0,-0.2,0.0,0.0
"Mello Codesso, Mauricio",Profit Analysis Manager Advis,01,60027,0.6,0.0,-0.3,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.6,0.3,0.3,0.5,-0.2,0.4,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miller, Christopher",Profit Analysis Manager Advis,02,60026,0.3,0.4,0.0,-0.1,-0.1,0.0,0.0,0.1,0.1,0.0,-0.1,0.1,0.2,-0.1,-0.1,0.0,0.0,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glencross, John",Profit Analysis Manager Advis,03,60533,-0.6,-1.0,-1.0,-0.3,-1.0,-0.2,-1.0,-0.6,-1.1,-0.9,-0.2,-0.9,-0.4,-0.6,-0.5,0.0,-0.1,0.1,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moreno, Kimberly",Profit Analysis Manager Advis,04,61595,,,,,,,,,,0.1,,,,,,,,,,-0.3,0.4,0.1,0.2,-0.1,-0.3,-0.3,-0.1,0.3,0.1,0.1,0.0,0.3,-0.1,-0.4,0.1,-0.1,0.0,0.0,0.0,-0.2,0.0,0.2,0.0,0.0,0.1,0.2,0.1
"Zullo, Ronald",Inc Tax Detrmnation  Planning,01,61083,-0.1,-0.2,-0.4,0.0,0.2,0.2,0.2,0.3,0.4,0.0,0.2,0.3,0.1,-0.2,0.0,-0.2,-0.1,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Christina",Internal Auditing,01,60640,0.2,0.4,0.4,0.2,0.3,-0.1,0.1,0.0,-0.4,-0.1,0.0,-0.1,0.2,0.2,0.2,0.2,0.0,0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goldman, William",Audit Big Data,01,60099,-0.5,0.1,0.2,-0.2,0.0,0.0,0.0,0.1,0.2,0.4,-0.1,-0.5,0.1,0.3,0.0,0.2,0.1,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ruff, Michael",Corporate Fin Reporting 2,02,60668,0.2,0.1,0.1,0.1,0.3,0.2,0.1,0.1,0.3,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ruff, Michael",Corporate Fin Reporting 2,03,61788,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,0.0,0.1,0.0,-0.3,-0.1,-0.3,-0.2,-0.1,0.0,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sherman, H",Contmp Issues Accountng Theory,01,60095,-0.4,0.2,-0.3,-0.3,-0.3,-0.5,-0.5,-0.4,-0.6,-0.2,0.1,0.2,-0.6,-0.2,-0.1,0.5,0.2,0.1,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zullo, Ronald",Corporations  Shareholders,01,60196,-0.2,-0.5,-0.4,-0.1,0.1,-0.2,-0.1,-0.2,0.3,0.1,0.0,0.1,-0.1,-0.5,-0.1,-0.3,0.0,0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marino, Joanna",Partners  Partnerships,01,60197,0.3,-1.0,-1.3,-0.3,0.2,-0.2,0.2,-0.1,-0.7,0.3,0.0,-0.4,0.3,-0.1,0.2,-1.2,0.1,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alessandri, Susan",Acct Research  Communication,01,60199,-0.2,0.2,0.3,0.1,0.1,-0.5,0.0,0.1,-0.7,-0.2,0.1,0.4,0.2,0.3,0.1,0.2,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wamai, Richard",Introduction to Global Health,02,61594,-0.5,-1.4,-0.9,0.0,-0.4,-0.4,-0.7,-0.9,-0.3,-0.4,-0.6,-0.6,-0.5,-1.0,-1.1,-1.1,-0.8,-0.6,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hayat, Sara",Buildings and Cities,01,60810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saldarriaga, Alejandro","Site, Space, Program",01,61029,-4.7,-4.0,-4.2,-4.8,-4.3,-4.2,-3.8,-4.3,-3.7,-4.2,-4.3,-4.2,-4.5,-4.1,-4.6,-4.4,-4.4,-4.4,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levine, Jonathan","Site, Space, Program",02,61779,-4.7,-4.0,-4.2,-4.8,-4.3,-4.2,-3.8,-4.3,-3.7,-4.2,-4.3,-4.2,-4.5,-4.1,-4.6,-4.4,-4.4,-4.4,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Matthew",Introduction to Photography,01,60586,0.0,-1.0,0.0,0.2,-0.8,-0.8,-0.3,-0.8,-0.3,-0.1,-0.3,-0.8,-0.8,-0.5,-0.8,-0.7,-0.7,-0.1,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Matthew",Introduction to Photography,02,60587,-1.3,-1.3,-1.5,-1.5,-1.0,-1.0,-1.6,-1.5,-1.5,-0.9,-1.1,-1.0,-1.0,-0.5,-1.0,-0.4,-1.2,-0.8,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Matthew",Photo Tools,01,60588,0.7,-0.8,-2.0,-1.0,-1.0,0.0,-0.6,-0.5,-1.5,-1.4,-1.1,-1.0,-1.0,-0.5,0.0,-0.4,-0.7,-1.8,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Matthew",Photo Tools,02,60589,-4.3,-4.3,-4.0,-4.5,-4.5,-4.5,-4.6,-4.5,-4.0,-4.4,-4.6,-4.5,-4.5,-4.5,-4.5,-4.4,-4.7,-4.8,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stewart, Brooke",Observational Drawing,01,60101,0.4,0.2,0.5,0.0,0.2,0.2,0.4,-0.5,0.3,0.3,0.4,0.5,0.5,0.5,0.5,-0.1,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tien, Wen-hao",Conceptual Drawing,01,60590,-0.5,-0.3,0.5,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.2,0.0,-0.2,0.5,0.3,-0.1,0.3,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, Jesse",Color and Composition,01,60171,-0.3,-0.8,-0.5,-0.3,-0.2,-0.3,0.1,0.3,0.5,0.3,0.1,0.2,0.2,0.0,0.0,-0.1,-0.2,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thorne, Jamal",Experience and Interaction,01,60498,-2.3,-4.3,-4.0,-0.5,-1.0,-1.0,-0.1,-0.5,0.0,-0.9,-1.1,-1.0,-1.0,-0.5,0.0,-0.4,0.3,0.2,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gururaj, Babuaravind",Experience  Interaction Tools,02,61170,-3.3,-4.3,-4.0,-1.5,-3.5,-1.5,-3.6,-1.5,-1.0,-2.4,-3.6,-3.5,-3.5,-3.5,-3.5,-3.4,-3.7,-2.8,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scott, Douglass",Information Design Principles,01,61619,0.5,0.2,0.5,0.1,0.5,0.3,0.4,0.3,0.8,0.6,0.4,0.5,0.5,0.5,0.3,0.2,0.3,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ebarb, Sebastian",Graphic Design Principles,01,60500,0.1,0.4,0.1,0.2,0.1,0.1,-0.5,-0.2,-0.7,-0.5,0.3,0.1,0.2,-0.4,0.1,0.5,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geofrey, Steven",Prototyping with Code,01,61620,0.7,0.4,1.0,0.5,0.5,0.5,0.4,0.5,1.0,0.6,0.4,0.5,0.5,0.5,0.5,0.6,0.3,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geofrey, Steven",Lab for ARTG 2262,01,61621,0.7,0.7,1.0,0.5,0.5,0.5,0.4,0.5,1.0,0.6,0.4,0.5,0.5,0.5,0.5,0.6,0.3,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scott, Douglass",History of Graphic Design,01,60756,0.2,0.4,0.1,0.3,0.5,0.4,0.3,0.3,0.1,0.5,0.4,0.4,0.4,0.3,0.4,0.5,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yaseen, Mohammad",Bioelectricity,01,60750,0.2,0.2,0.3,-0.2,-0.3,-0.6,0.4,0.5,0.5,0.2,0.3,0.3,-0.3,-0.3,0.3,0.2,0.2,-0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grindle, Daniel",Capstone Design 1,01,60331,0.0,0.0,0.0,0.1,0.0,0.1,-0.1,-0.1,-0.1,-0.1,0.4,0.0,0.4,0.3,0.2,0.1,0.4,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang, Lei",Capstone Design 1,01,60331,0.0,0.0,0.0,0.1,0.0,0.1,-0.1,-0.1,-0.1,-0.1,-0.5,-0.3,-0.5,-0.3,-0.4,-0.5,-0.5,-0.5,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaeggli, Michael",Capstone Design 1,01,60331,0.0,0.0,0.0,0.1,0.0,0.1,-0.1,-0.1,-0.1,-0.1,-0.6,-0.5,-0.5,-0.5,-0.4,-0.5,-0.6,-0.6,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lannin, Timothy",Capstone Design 1,01,60331,0.0,0.0,0.0,0.1,0.0,0.1,-0.1,-0.1,-0.1,-0.1,0.5,0.3,0.5,0.6,0.3,0.4,0.6,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roth, Aaron",General Biology 1,01,60987,0.1,0.2,-0.3,0.2,0.0,0.4,0.0,0.2,0.0,-0.2,-0.3,0.1,0.5,0.4,0.2,0.2,0.3,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roth, Aaron",Biology and Society,01,60346,-0.2,0.4,0.4,0.1,0.1,0.3,0.6,0.6,0.5,0.5,-0.2,-0.1,0.4,0.4,0.5,-0.1,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schlichting, Matthias",Genetics  Molecular Biology,01,60347,0.2,0.1,-0.1,0.0,0.1,-0.1,0.1,-0.2,0.0,0.1,0.2,0.2,0.1,0.1,0.2,0.0,0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farkas, Johanna",Biology Project Lab,01,60417,0.3,0.6,0.6,0.1,0.2,0.4,0.7,0.6,0.3,0.4,0.4,0.5,0.5,0.7,0.4,0.4,0.4,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schlichting, Matthias",Biology Project Lab,02,60759,0.2,0.5,0.6,0.2,0.2,0.1,0.8,0.4,0.3,0.4,0.3,0.4,0.6,0.7,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ricci, Lesley",Neurobiology,02,60368,0.0,-0.2,0.0,0.3,-0.1,-0.1,0.2,0.2,-0.5,-0.1,-0.2,-0.1,-0.2,0.0,0.1,0.1,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woods, Dori",Current Topics in Biology,01,60760,-0.4,-0.5,-0.5,-0.4,0.1,0.2,-0.2,0.1,-0.5,-0.3,-0.3,0.2,0.1,-1.0,-0.3,-0.5,-0.1,-0.6,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ricci, Lesley",Current Topics in Beh Neurosci,01,60461,-0.6,-0.1,-0.2,-0.1,-0.1,0.2,-0.1,0.2,0.3,0.2,0.1,0.4,0.3,0.7,0.2,-0.1,0.3,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woods, Dori",Animal Models Biomed Research,01,61522,-0.6,-0.5,-0.2,0.0,0.0,-0.5,-0.5,-0.5,-0.3,-0.2,-0.6,-1.2,-1.4,-1.9,-0.2,-0.5,-0.6,-1.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bennett, Jonathon",Biochemistry,01,60348,-0.1,-0.6,-0.6,0.0,-0.3,0.0,-1.0,0.2,0.2,-0.6,-0.9,-1.1,-1.3,-0.4,0.0,0.3,0.1,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barfuss, Evan",Lab for BIOL 3611,01,60295,-0.6,-0.2,-0.2,-0.7,0.3,0.5,0.8,0.8,-0.3,-0.5,0.4,0.5,0.6,0.8,0.5,0.5,0.4,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fertuck, Kirsten",Lab for BIOL 3611,01,60295,-0.6,-0.2,-0.2,-0.7,0.3,0.5,0.8,0.8,-0.3,-0.5,0.4,0.5,0.6,0.8,0.5,0.5,0.4,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barfuss, Evan",Lab for BIOL 3611,02,60296,-0.2,-0.2,-0.2,-0.3,0.3,0.5,0.6,-0.4,-0.5,-0.3,0.4,0.5,0.6,0.0,-1.1,-0.3,-0.4,-0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fertuck, Kirsten",Lab for BIOL 3611,02,60296,-0.2,-0.2,-0.2,-0.3,0.3,0.5,0.6,-0.4,-0.5,-0.3,-0.6,-0.5,-0.6,-0.7,-0.7,-1.2,-1.1,-1.1,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roth, Aaron",Biology Capstone,01,60462,-0.1,0.3,0.3,-0.2,-0.2,0.0,-0.2,0.3,0.2,0.0,-0.1,0.0,0.1,-0.7,0.0,-1.0,-0.1,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweeney, Meredith",Cell and Molecular Biology,01,60349,-0.1,-0.5,0.1,0.1,-0.1,-0.2,-0.3,-0.1,0.0,-0.1,-0.2,-0.5,-0.4,-0.1,-0.5,-0.2,-0.4,-0.4,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
