instructor,course_title,course_id,professor_score
"Lannin, Timothy",Capstone Design 1,60331,4.1
"Roth, Aaron",General Biology 1,60987,2.2
"Roth, Aaron",Biology and Society,60346,4.9
"Schlichting, Matthias",Genetics  Molecular Biology,60347,1.5
"Farkas, Johanna",Biology Project Lab,60417,8.4
"Schlichting, Matthias",Biology Project Lab,60759,7.7
"Ricci, Lesley",Neurobiology,60368,-0.5
"Woods, Dori",Current Topics in Biology,60760,-5.1
"Ricci, Lesley",Current Topics in Beh Neurosci,60461,2.3
"Woods, Dori",Animal Models Biomed Research,61522,-11.2
"Bennett, Jonathon",Biochemistry,60348,-7.1
"Barfuss, Evan",Lab for BIOL 3611,60295,4.5
"Fertuck, Kirsten",Lab for BIOL 3611,60295,4.5
"Barfuss, Evan",Lab for BIOL 3611,60296,-1.1
"Fertuck, Kirsten",Lab for BIOL 3611,60296,-8.0
"Roth, Aaron",Biology Capstone,60462,-1.5
"Sweeney, Meredith",Cell and Molecular Biology,60349,-4.1
"Sweeney, Meredith",Cell and Molecular Biology,61924,-3.8
"Sadeghzadeh, Keivan",Business Analytics,60669,0.0
"Kenyon, Shawn",Personal Behavior Change,61068,-0.9
"Kenyon, Shawn",Personal Behavior Change,61799,2.6
"Braga-Kenyon, Paula",Behavior Management,60758,-0.9
"Mathews, Jude",Organic Chemistry 2,60010,1.9
"Xue, Chenyang",Lab for CHEM 2313,60013,-2.1
"Rivas, Ana",Lab for CHEM 2313,60011,-8.5
"Annable, Liana",Lab for CHEM 2313,60100,0.2
"Hussain, Arif",Lab for CHEM 2313,60330,1.5
"Su, Ming",Chemical Engr Thermodynamics 1,60015,0.0
"Shillaber, Craig",Geotechnical Engineering,60038,3.7
"Shillaber, Craig",Lab for CIVE 2340,60037,-18.9
"Shillaber, Craig",Lab for CIVE 2340,60492,8.1
"Shillaber, Craig",Lab for CIVE 2340,60335,3.0
"Wang, Qi",Construction Management,60016,-85.3
"Cuenca, Daniel",Latin Amer Film,61082,12.0
"Perez-Arranz, Cristina",Latin Amer Film,61766,5.1
"Tannebaum, Michael",Intro Communication Studies,61747,0.6
"Granelli, Steven",Intro Communication Studies,60593,0.7
"Pitchford, Matthew",Public Speaking,60180,3.4
"Nwogwugwu, Daniel",Public Speaking,60822,-1.3
"Jones, Patrick",Public Speaking,61278,1.9
"Compton, Benjamin",Public Speaking,60858,-2.8
"Charlson, Doria",Public Speaking,61174,1.4
"Pitchford, Matthew",Public Speaking,61501,-7.6
"Bruner, Katie",Business/Professional Speaking,60981,1.7
"Nwogwugwu, Daniel",Business/Professional Speaking,60602,-4.1
"Jones, Patrick",Business/Professional Speaking,61845,7.9
"Schwartz, Joseph",Sex  Relationships,60198,-2.4
"Schwartz, Joseph",Sex  Relationships,61846,3.4
"Glowacki, Elizabeth",Communication Theory,60464,4.6
"Jarvis, Caitlyn",Princ of Organizational Com,60334,6.4
"Carr, Michelle",Sound Production Digital Media,60567,6.9
"Schwartz, Joseph",Dark Side Interpersonal Comm,60308,-2.6
"Bruner, Katie",Visual Communication,60465,2.9
"Doroshenko, Larisa",Communication Research Methods,60205,-4.8
"Doroshenko, Larisa",Communication Research Methods,61847,-4.6
"Williams, Margaret",Global and Intercultural Comm,60293,-2.2
"Van Gilder, Bobbi",Communication and Gender,60333,-0.2
"Granelli, Steven",Popular Communication,61502,-26.8
"Warren, Stephen",Sport and Spectacle,60421,-4.6
"Tannebaum, Michael",Interpersonal Communication,61293,-3.1
"Shields, Ashleigh",Interpersonal Communication,60359,7.4
"O'Malley, Donica",Interpersonal Communication,60828,5.5
"O'Malley, Donica",Interpersonal Communication,61848,3.9
"El idrissi, Salma",Communication and Inclusion,61503,-84.6
"Bruner, Katie",Communication Criticism,60821,7.9
"Ouillette, Timothy",Digital Editing for TV,61504,7.2
"Hansson, Callie",Human Trafficking,61047,6.9
"Gerdes, Madison",Criminal Violence,61048,2.5
"Buchanan, Molly",Psychology of Crime,61494,-2.2
"Khachatryan, Norair",Psychology of Crime,61807,-0.9
"Bruell, Christopher",Topics in CJ and Criminology,61495,-2.4
"Konrad, Almudena",Discrete Structures,61714,-1.7
"Konrad, Almudena",Seminar for CS 1800,61670,-0.6
"Stalfa, David",Algorithms  Data,61736,-4.8
"Stalfa, David",Recitation for CS 3000,61737,-1.1
"Fontenot, Mark",Introduction to Databases,61535,7.4
"Schedlbauer, Martin",Introduction to Databases,61840,-2.2
"Shafer, Steven",Object-Oriented Design,61743,-9.4
"Shafer, Steven",Lab for CS 3500,61744,-16.0
"Yildirim, Caglar",Game Programming,61624,1.8
"Venkatesaramani, Rajagopal",Artificial Intelligence,61536,3.9
"Bernstein, Maxwell",Topics in Computer Science,61657,-82.4
"Khurana, Rushil",Topics in Computer Science,61745,-6.0
"Schedlbauer, Martin",Database Management Sys,61794,-5.4
"Changizi, Neda",Mobile Application Development,61629,-3.2
"Yildirim, Caglar",Game Programming,61625,2.1
"Annunziato, Jose",Web Development,61065,4.9
"Graeff, Erhardt",Projects for Professionals,61815,12.6
"Garces Escobar, Santiago",Projects for Professionals,61815,12.6
"Sharifian Attar, Ali",Foundations of Cybersecurity,61035,0.0
"Sanghrajka, Rushit",Int. Programming with Data,61531,-2.2
"Yang, Xiaoyi",Foundations of Data Science,61534,3.0
"Dupree, Jill",Principles of Macroeconomics,60030,-16.6
"Piao, Richeng",Principles of Macroeconomics,60494,6.7
"Vincenzi, Marco",Principles of Macroeconomics,60614,-4.5
"Gernhardt, Roy",Principles of Macroeconomics,61784,7.5
"Bakkal, Ilter",Principles of Macroeconomics,61852,-16.9
"Kimelman, Nancy",Principles of Microeconomics,60423,-4.5
"Gernhardt, Roy",Principles of Microeconomics,60753,4.2
"Mughal, Abdul",Principles of Microeconomics,61834,6.1
"Venkatesan, Madhavi",Economics of Crime,61512,-7.6
"Dew, James",Macroeconomic Theory,60209,-7.3
"Bakkal, Ilter",Microeconomic Theory,60183,-4.1
"Shi, Xiaolin",Statistics for Economists,60403,-4.1
"Vicentini, Gustavo",Statistics for Economists,61513,-1.0
"Porter, Gerald",Economics of Sports,61027,1.3
"Georges, Francis",Senior Economics Thesis,61631,9.4
"Zagieboylo, Drew",Embed Design Enabling Robotics,61507,-71.9
"Sapavath, Naveen Naik",Fund Digital Design/Comp Org,60569,-5.6
"Sapavath, Naveen Naik",Lab for EECE 2322,60570,2.2
"Sapavath, Naveen Naik",Fundamentals of Electronics,61084,7.1
"Sapavath, Naveen Naik",Lab for EECE 2412,61085,6.1
"Salehi, Masoud",Analysis Random Phenom in ECE,60408,5.1
"Shafai, Bahram",Robotics,61052,-0.4
"MacDonald, Jacquelyn",Values/Ethics/Prof in Science,61506,0.0
"Guschin, Andrei",Engineering Project Management,60210,0.5
"Bajracharya, Sharad",Engineering Project Management,61645,-2.2
"Dehghani Dehghani, Mohammad Mohammad",Economic Decision Making,60292,6.6
"Heydari, Babak",Economic Decision Making,61075,2.2
"Kelly, Kathleen",Travel Writing,60483,-19.2
"Block, Aaron",Creative Writing,60406,6.6
"Bushnell, Jeremy",Creative Writing,60757,4.2
"McCarthy, Suzanne",First-Year Writing,60162,3.6
"Carleton, Amy",Advanced Writing in Tech Prof,60163,3.5
"Johnson, Juniper",Advanced Writing in Tech Prof,60344,3.1
"Mendevil, Victor",Advanced Writing in Tech Prof,60992,5.4
"Saini, Vijeta",Advanced Writing in Tech Prof,60619,-4.2
"Carleton, Amy",Advanced Writing in Tech Prof,60343,-7.2
"White, Max",Advanced Writing in Tech Prof,60165,8.4
"Sobral Campos, Isabel",Advanced Writing in Tech Prof,60213,-2.2
"Sobral Campos, Isabel",Advanced Writing in Tech Prof,60310,-7.6
"Vestri, Talia",Advanced Writing in Tech Prof,60341,5.9
"Vestri, Talia",Advanced Writing in Tech Prof,60340,6.0
"Marshall, Eric",Advanced Writing in Tech Prof,60399,-0.7
"Marshall, Eric",Advanced Writing in Tech Prof,61526,-4.6
"Ober, David",Advanced Writing in Bus Admin,60185,-9.9
"Ober, David",Advanced Writing in Bus Admin,61527,0.5
"Olivier, Faviana",Advanced Writing in Bus Admin,60194,4.0
"Noonan, Matthew",Advanced Writing in Bus Admin,60303,-2.2
"Noonan, Matthew",Advanced Writing in Bus Admin,60311,-21.7
"Mellette, Thomas",Advanced Writing in Bus Admin,60339,-4.3
"Mellette, Thomas",Advanced Writing in Bus Admin,60338,-2.5
"Beerits, Laura",Advanced Writing in Bus Admin,60819,8.2
"Beerits, Laura",Advanced Writing in Bus Admin,61528,7.7
"Dehghan, Elham",Adv Writing in the Health Prof,60166,-10.2
"Dehghan, Elham",Adv Writing in the Health Prof,60195,-2.0
"Block, Aaron",Adv Writing in the Sciences,60207,5.3
"Clark, Tabitha",Adv Writing in the Sciences,60994,1.1
"Clark, Tabitha",Adv Writing in the Sciences,60337,-12.5
"Dedek, Michael",Adv Writing in the Sciences,60490,3.0
"Duggan, James",Adv Writing in the Sciences,61748,8.5
"Sirois, Carolyn",Adv Writing in Social Sciences,60418,-16.2
"Duggan, James",Adv Writing in Social Sciences,61529,8.8
"Olivier, Faviana",Advanced Writing for Prelaw,60342,-5.7
"Ayala, Christopher",Adv Writing Arts/Media/Design,60405,-3.7
"Sirois, Carolyn",Adv Writing Arts/Media/Design,60995,-6.7
"Garrett, Julia",Interdisciplinary Adv Writing,60188,-4.4
"McCarthy, Suzanne",Interdisciplinary Adv Writing,60491,-11.2
"Griffin, Caitlyn",Interdisciplinary Adv Writing,60450,-1.7
"Keller, Nicole",Interdisciplinary Adv Writing,60191,-19.1
"Grasso, Chelsey",Interdisciplinary Adv Writing,60189,-0.8
"Babin, Paul",Interdisciplinary Adv Writing,60190,-9.1
"Patterson, Amy",Interdisciplinary Adv Writing,60710,1.5
"Mitteness, Cheryl",Marketing Strategies Startups,60486,4.6
"Berkey, Rebecca",Food Justice  Community Dev,61746,0.0
"Chiou, Wan-Jiun",Financial Management,60024,1.2
"Bai, Jianqiu",Financial Management,61596,0.0
"Li, Fan",Financial Management,61614,-6.5
"Tong, Xiaochuan",Fintech and Fin Innovation,61712,-3.0
"Fang, Cao",Investments,61098,1.1
"Li, Fan",Financial Modeling,61720,-2.5
"Fang, Cao",Mergers and Acquisitions,61715,2.2
"Ahmed, Rashad",Fixed-Income Securities  Risk,61717,6.2
"Kaser, Bruce",Business Turnarounds,61089,3.4
"Yang, Shiawee",Real Estate Finance  Invstmnt,61090,1.0
"Maloney, Stephen",Financial Data and Fintech,61719,3.6
"Kleinman, Erica",Foundations of Game Design,61615,0.4
"Sivak, Mark",Foundations of Game Design,61615,-17.6
"Ho, Tuan",Customer-Driven Tech Innovatn,61024,0.7
"Deane, John",Product Development for Engrs,60751,2.1
"Mulligan, John",Product Development for Engrs,61754,-3.3
"Sondermann, Ruth",Special Topics in German,61633,0.0
"Turner, Catherine",Intro to Health Informatics,60504,-12.2
"Young, Gary",American Healthcare System,61172,8.6
"Young, Gary",American Healthcare System,61642,5.0
"Tratnyek, Claire",History of the United States,61496,2.4
"Heefner, Gretchen",Origins of Today,60484,4.5
"Ikeda, James",Origins of Today,61761,0.6
"Megowan, Erina",Espionage 1: Antiquity to WWII,60608,-0.8
"Luongo, Katherine",The World Since 1945,60121,3.8
"Fraunholtz, Peter",Colonialism/Imperialism,60780,-9.8
"Milne, Sharon",Interprof Ethics Ind/Pop Hlth,60487,1.6
"Williams, Matthew",Emergency Med Tech Training,61771,3.9
"Bernstein, Eugene",Alternative Medicine,60200,-1.1
"Gale, Kevan",Mindfulness: Theory  Practice,60532,-3.0
"Wood, Stephen",Special Topics in Healthcare,61523,1.0
"Riccio, Rebecca",Honors Seminar,61045,0.0
"Berkey, Rebecca",Food Justice  Community Dev,60616,4.5
"Guschin, Andrei",Lean Concepts and Applications,60294,-0.4
"Krishnamurthy, Venkataraman",Data Management for Analytics,61632,6.4
"Guschin, Andrei",Supply Chain Engineering,61059,0.1
"Jin, Xuemin",Data Mining in Engineering,61060,3.9
"Shi, Shiaoming",Account/Budgets for Engineers,60612,-0.5
"Pirozzi, Maricla",Managerial Comm for Engineers,61776,0.4
"Salerno, Jack",Innovation!,61600,4.9
"Twohig, Laura",Innovation!,61601,9.0
"Golden, Stephen",Innovation!,61602,-9.5
"Golden, Stephen",Innovation!,61612,-3.5
"Friar, John",Enterprise Growth  Innovation,61530,5.9
"Salerno, Jack",Enterprise Growth  Innovation,61661,-2.0
"Langer, Arthur",Ldg Digital Transfrm in Orgs,61667,-8.9
"Marion, Tucker",Innovation Driven Strategy,61067,-0.6
"Pine, Buddie",Crting Val in Experience Econ,61934,-81.6
"Federico, Katelyn",Info Design  Visual Analytics,60752,-6.3
"Roth, Alexandra",Intl Bus and Social Resp,61721,22.9
"Rockhead, Donald",Visual Storytelling in Jrnl,60468,0.0
"Cooper, Adam",Intro to Lang  Linguistics,60212,0.0
"Mangiafico, Santina",Introduction to LPS,61658,3.8
"Jesudason, Rajini",Calculus for Business/Econ,61219,-14.1
"Rainho, Marco",Calculus 2 for Sci/Engr,60035,4.9
"Rainho, Marco",Calculus 2 for Sci/Engr,60148,4.7
"Webber, Matthew",Calculus 3 for Sci/Engr,60963,-4.2
"Gibbins, Aliska",Linear Algebra,60034,-14.2
"Lupi, Robert",Diff Eq and Lin Alg for Engr,60008,-3.5
"Lupi, Robert",Diff Eq and Lin Alg for Engr,60132,3.2
"Lee, Lee-Peng",Probability and Statistics,60328,-0.2
"Lee, Lee-Peng",Probability and Statistics,60151,5.4
"Garcia, Matthew",Group Theory,60298,-2.0
"Garcia, Matthew",Number Theory 1,60605,-85.8
"Webber, Matthew",Statistics  Stochastic Procss,60170,0.2
"Wang, He",Applied Linear Algebra,61070,7.2
"Abedi, Mehdi",Thermodynamics,60572,1.7
"Mamont, Bruce",Introduction to Flight,61076,1.5
"Taslim, Mohammad",Fluid Mechanics,60103,-0.4
"Loth, Francis",Fluid Mechanics,60161,3.9
"Ma, Ruidong",Fluid Mechanics,61078,4.6
"Wan, Kai-tak",Fluid Mechanics,61643,5.1
"Tjiptowidjojo, Yustianto",Mechanical Engineering Design,60002,-7.7
"Tjiptowidjojo, Yustianto",Mechanical Engineering Design,60104,-4.3
"Nayeb Hashemi, Hamid",Advanced Mechanics of Material,60351,-80.5
"Jin, Xuemin",Math Mthods for Mech Engneer 1,60299,-18.3
"Gouldstone, Andrew",Capstone Design 1,60001,2.2
"Allshouse, Michael",Capstone Design 1,60001,2.2
"Gagnon, Timothy",Business Law  Prof Ethics,60093,0.6
"Spencer, Denise",Business Statistics,60127,5.7
"Sah, Bhawesh",Business Statistics,61603,-7.0
"Sah, Bhawesh",Business Statistics,61604,0.0
"Babu, Xavier",Information Analysis,60411,-6.8
"Dedeke, Adenekan",Intro to Info Systems Dig Tech,60020,5.6
"Slusser, James",Intro to Info Systems Dig Tech,60019,-4.1
"Dedeke, Adenekan",Intro to Info Systems Dig Tech,61634,0.0
"Gallagher, Sean",Introduction to Marketing,60017,-7.3
"Fombelle, Paul",Introduction to Marketing,61613,0.0
"Mortimer, Niland",Brand Management,61730,-0.5
"O'Connor, Chad",Advertising  Brand Promotion,61662,0.6
"Clark, Bruce",Market Focused Strategy,61664,2.4
"Boviard, Carolyn",Mng Cust Eng in Serv World,61096,2.9
"Lassk, Felicia",Customer-Centric Rsrch Methods,60353,-87.5
"Dailey, Keli",Media and Social Change,61505,10.4
"Gutierrez, James",Music in Everyday Life,60573,0.6
"Ho, Hubert",Fundamentals of Music Theory,60505,-8.4
"Ward, Robert",Guitar Class,60297,14.2
"Tchetgen, Pierre-Valery",Black Popular Music,60420,-0.6
"mcgreevy, Amy",Nursing with Women   Families,60119,0.1
"Ramdin, Valeria",Intro Research Method Hlthcare,60568,-1.1
"Bradley, Caitlin",Intro Research Method Hlthcare,61763,1.1
"Chen, Andy",Deterministic Ops Research,61644,12.7
"Arrowood, Rick",Organizational Behavior,60023,4.5
"Arrowood, Rick",Organizational Behavior,60022,-4.5
"Gregory-Mina, Heidi",Organizational Behavior,60168,-3.9
"Arrowood, Rick",Organizational Behavior,61605,3.3
"Steere, Robert",Organizational Behavior,61606,0.0
"Connors, Colin",Intro Contmporary Moral Issues,60329,6.0
"Caouette, Justin",Technology and Human Values,61481,8.1
"McLeod, Lisa",Moral Soc Prblms in Hlthcare,60182,-2.9
"Lustila, Getty",Environmental Ethics,60984,11.6
"Caouette, Justin",Research Ethics,61033,-20.2
"Winborne, Sheila",Apocalypticism in Film,60748,6.7
"Woolley, Adam",Integrated Sci and Therap 2,61489,-1.0
"Sibicky, Stephanie",Integrated Sci and Therap 2,61489,3.1
"Swain, Dawn",Integrated Learning Lab 2,61482,5.7
"Swain, Dawn",Integrated Learning Lab 2,61483,1.5
"Swain, Dawn",Integrated Learning Lab 2,61484,-1.1
"Carlson, Alexa",Concepts in Practice 2,61490,2.8
"Carlson, Alexa",Concepts in Practice 2,61491,-1.8
"Carlson, Alexa",Concepts in Practice 2,61492,-3.7
"Carlson, Alexa",Concepts in Practice 2,61493,-3.0
"Orr-Skirvin, John",Applied Drug Information,61635,2.8
"Orr-Skirvin, John",Applied Drug Information,61636,-1.6
"Orr-Skirvin, John",Applied Drug Information,61637,-15.9
"Jaime, Maria Catrina",American Healthcare System,60493,-2.6
"Wamai, Richard",Introduction to Global Health,60609,-12.5
"Shields, Ashleigh",Comm Skills for the Hlth Prof,60763,2.8
"Marks, Adam",Comm Skills for the Hlth Prof,61598,3.6
"Santelices, Claudia",Community and Public Health,60565,4.3
"Osoro, Geofred",Healthcare Policy  Admin,60768,0.4
"Phaneuf, Tiffany",Healthcare Policy  Admin,60769,-4.8
"Osoro, Geofred",Global Persect: Discrim  Hlth,61609,0.6
"Evans, Jennifer",Health Ed  Program Planning,60775,11.3
"Galotti, Gillian",Health Ed  Program Planning,60776,6.1
"Boulin, Adrianna","Race, Ethnicity,  Hlth in US",60208,-5.8
"Capuzzo, Jenna","Race, Ethnicity,  Hlth in US",61814,4.5
"Schwartz, Randy",Project Mgmt in Public Health,60364,-12.7
"Schwartz, Randy",Budget Principles Pub Health,60362,-23.7
"Schwartz, Randy",Grant Writing in Public Health,60363,-17.6
"Fotovatian, Assad",Physics for Life Sciences 1,60998,1.9
"Adler, Harrison",Lab for PHYS 1145,60999,-3.0
"Andersen, David",Lab for PHYS 1145,61000,-9.3
"Lindsay, Audrey",Lab for PHYS 1145,61001,5.7
"Zhu, Yunhao",Lab for PHYS 1145,61002,3.3
"Mutahar, Muhammad Abdullah",Lab for PHYS 1145,61003,2.5
"Shirke, Ayushi",Lab for PHYS 1145,61004,6.2
"Fotovatian, Assad",Physics for Life Sciences 2,60012,3.8
"Ramos, Kristiana",Lab for PHYS 1147,60152,1.5
"Shirke, Ayushi",Lab for PHYS 1147,60006,6.7
"Adler, Harrison",Lab for PHYS 1147,60005,5.9
"Fadul, Ahmed",Lab for PHYS 1147,60489,-1.6
"Lindsay, Audrey",Lab for PHYS 1147,60004,2.8
"Mutahar, Muhammad Abdullah",Lab for PHYS 1147,60003,-13.2
"Zhu, Yunhao",Lab for PHYS 1147,60497,-8.5
"Suer, Gun",Lab for PHYS 1147,60502,-0.2
"Yang, Zepei",Lab for PHYS 1147,61750,-3.7
"Altunkaynak, Ismet",Physics for Engineering 1,60033,-6.9
"Fadul, Ahmed",Lab for PHYS 1151,60032,0.7
"Barbaro, Sabrina",Lab for PHYS 1151,60007,-8.1
"Forni, Zachary",Lab for PHYS 1151,60345,7.8
"Altunkaynak, Ismet",Interact Learn for PHYS 1151,60118,-4.2
"Di Credico, Alessandra",Modern Physics,60485,0.5
"Kumarakuru, Haridas",Advanced Physics Lab,60147,-3.6
"Kumarakuru, Haridas",Advanced Physics Lab,60477,1.6
"Altunkaynak, Ismet",Thermo  Statistical Mechanics,61519,-9.2
"Altunkaynak, Ismet",Mthds of Advancd Prblm Solving,60096,2.2
"Morrow, Garrett",International Relations,60184,7.6
"Yang, Seoeun",Quantitative Techniques,60463,-2.5
"Abrahms, Max",Terrorism and Counterterrorism,60754,4.9
"Riccio, Rebecca",Toolkit: Grant Writing,61555,6.1
"Kenney, Kathleen",Managing Ppl Public/Nonprofit,60460,-5.2
"Ahern Jr, Francis",Admin Ethics and Public Mgmt,60564,-1.1
"Prokosch, Mark",Foundations of Psychology,60031,0.7
"Kimball, Grayson",Stats in Psychological Resrch,60106,-1.9
"Melloni Jr, Richard",Clinical Neuroanatomy,60778,-4.4
"Kariotis-Rice, Jennelle",Personality,61485,-0.8
"Gobrogge, Kyle",Developmental Psychology,60146,-5.6
"Gobrogge, Kyle",Clinical Psych  Mental Health,60204,4.8
"Ricci, Lesley",Biological Psychology,60467,1.1
"Eidson, Robert",Cognition,60167,3.3
"Ricci, Lesley",Lab in Biological Psychology,60634,0.4
"Eidson, Robert",Laboratory in Cognition,61487,2.3
"Richters, David",Lab in Sensation and Percept,61488,5.0
"Breton, Jocelyn",Seminar Biological Psychology,61755,4.0
"Kariotis-Rice, Jennelle",Seminar in Personality,61486,3.8
"Prokosch, Mark",Seminar in Social Psychology,60779,-2.0
"Thomas, Adam",Foundations of Phys Therapy,60471,3.4
"Thomas, Adam",Lab for PT 5101,60472,-15.7
"Koenig, Allison",Lab for PT 5101,60472,-3.7
"Divas, Rachel",Lab for PT 5101,60472,-3.7
"Thomas, Adam",Lab for PT 5101,60594,5.5
"Drake, Ashley",Lab for PT 5101,60594,5.8
"Tong, Heather",Lab for PT 5101,60594,5.0
"Dunn, Kristin",Lab for PT 5101,60594,-3.9
"Gandhi, Sonu",Lab for PT 5101,60594,5.5
"Thomas, Adam",Lab for PT 5101,60595,3.7
"Drake, Ashley",Lab for PT 5101,60595,-5.7
"Dunn, Kristin",Lab for PT 5101,60595,3.6
"Brandano, Renee",Lab for PT 5101,60595,3.6
"Birchall, Ryan",Lab for PT 5101,60595,3.6
"Gandhi, Sonu",Lab for PT 5101,60595,-5.7
"Thomas, Adam",Lab for PT 5101,60596,4.8
"Tscherne, David",Lab for PT 5101,60596,4.1
"Marengo, Jessica",Lab for PT 5101,60596,4.5
"Divas, Rachel",Lab for PT 5101,60596,-0.8
"Brantley, Thalia",Lab for PT 5101,60596,4.3
"Perron, Aimee",Pathology,61040,0.7
"Nippins, Matthew",Pathology,61040,3.7
"Powell, Camille",Psychosocial Aspects,60473,-6.1
"Marengo, Jessica",Psychosocial Aspects,60473,-4.5
"Donlan, Pamela",Psychosocial Aspects,60473,-5.7
"Woolley, Adam",Pharmacology for PT,61041,-9.7
"Marengo, Jessica",Cardiovasc  Pulm Mgmt,61042,5.4
"Nippins, Matthew",Cardiovasc  Pulm Mgmt,61042,5.6
"Garton, Jessica",Lab for PT 5503,61043,4.8
"Marengo, Jessica",Lab for PT 5503,61043,5.3
"Dunn, Kristin",Lab for PT 5503,61043,4.8
"Wilson, Lesia",Lab for PT 5503,61043,4.8
"Nippins, Matthew",Lab for PT 5503,61043,5.3
"Kras, Allison",Lab for PT 5503,61044,6.1
"Garton, Jessica",Lab for PT 5503,61044,7.5
"Marengo, Jessica",Lab for PT 5503,61044,9.3
"Dunn, Kristin",Lab for PT 5503,61044,9.3
"Wilson, Lesia",Lab for PT 5503,61044,9.3
"Nippins, Matthew",Lab for PT 5503,61044,9.3
"Stefanik, Joshua",Functional Anatomy 1,60474,2.1
"Yen, Sheng-Che",Functional Anatomy 1,60474,2.2
"Brisbin, Luke",Lab for PT 6330,60475,3.5
"Yen, Sheng-Che",Lab for PT 6330,60475,4.1
