Instructor,Course Title,Section,Course ID,Online course materials were organized to help me navigate th…,Online interactions with my instructor created a sense of conne…,Online course interactions created a sense of community and…,I had the necessary computer skills and technology to success…,The syllabus was accurate and helpful in delineating expectati…,Required and additional course materials were helpful in achie…,In-class sessions were helpful for learning.,Out-of-class assignments and/or fieldwork were helpful for lear…,This course was intellectually challenging.,I learned a lot in this course.,The instructor came to class prepared to teach.,The instructor used class time effectively.,The instructor clearly communicated ideas and information.,The instructor provided sufficient feedback.,The instructor fairly evaluated my performance.,The instructor was available to assist students outside of class.,The instructor facilitated a respectful and inclusive learning env…,The instructor displayed enthusiasm for the course.,What is your overall rating of this instructor's teaching effective…,The Syllabus Provided a clear description of course goals and…,The textbook(s) helped me to learn.,"The materials used in this course (lectures, videos, ect.) were…",The assignments and fieldwork helped me to learn.,The lectures helped me to learn.,The course discussions and activities helped me to learn.,The technology used in this course helped me to learn,I found this course intellectually challenging.,I would recommend this course to other students.,I learned to apply course concepts and principles.,I developed additional communication skills in this course.,"I learned to analyze and evaluate ideas, arguments, and points…",Working with my classmates in this course helped me to learn.,I had the necessary technological skills for this course.,Technical support was available when needed.,The amount of interaction with the lead instructor met my learn…,The lead instructor clearly communicated ideas and information.,The lead instructor demonstrated expertise in the subject matter.,The lead instructor clearly stated the objectives of the course.,The lead instructor covered material stated in the course objec…,The section instructor fairly evaluated my performance.,The section instructor provided feedback that was timely and v…,I would recommend this section instructor to other students.,The section instructor treated students with respect.,The section instructor acknowledged and took effective action…,The section instructor was able to address my content questio…,The section instructor displayed enthusiasm for the course.,The amount of interaction with my section instructor met my le…,The work we did in the laboratory course helped me to perform…,The work we did in the lecture course helped me to perform be…,The undergraduate teaching fellow (undergraduate teaching a…,If this course had teaching assistants that held regular office h…,I was able to follow the pace of the lecture and understood the…,The grading of quizzes and case studies was fair.,I felt comfortable to ask questions. I felt comfortable to voice cr…,The real-life anecdotes and hands-on experience and insights…
"Gogia, Aashima",Career Management,06,11002,0.2,0.2,0.1,0.1,0.1,0.2,0.0,0.4,0.3,0.0,0.1,0.1,0.1,0.1,-0.1,-0.1,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medeiros, Jessica",Career Management,06,11002,0.2,0.2,0.1,0.1,0.1,0.2,0.0,0.4,0.3,0.0,-0.1,-0.2,0.0,-0.2,-0.1,-0.1,0.0,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baskerville, Marla",Managing the Organization,01,13359,0.2,-0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.2,0.2,0.1,0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baskerville, Marla",Managing the Organization,02,13356,-0.2,0.0,-0.1,0.0,-0.2,-0.1,-0.2,-0.2,-0.2,0.0,0.0,-0.1,-0.1,-0.1,-0.2,-0.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chuah, Kevin",Bus Dec Mkng in Dev Cntry Envn,01,17485,0.1,0.0,0.2,0.1,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chuah, Kevin",Bus Dec Mkng in Dev Cntry Envn,02,17495,0.1,-0.1,0.1,0.0,0.0,0.0,0.1,-0.2,0.0,0.1,0.0,0.0,0.0,-0.1,-0.2,-0.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chuah, Kevin",Bus Dec Mkng in Dev Cntry Envn,03,17525,-0.1,0.1,-0.2,0.0,-0.1,-0.1,-0.2,0.1,-0.1,-0.1,0.0,0.0,0.1,0.0,0.1,0.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wertheim, Edward",Negotiations,01,10575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chan, Chee",Intro to Business Analytics,01,12974,-0.2,0.4,0.4,0.2,0.1,-0.1,-0.2,0.3,0.3,0.1,-0.1,0.2,0.0,0.5,0.3,0.1,0.3,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liu, Xiaoping",Data Mine/Machine Lrn for Bus,01,13251,0.1,-0.1,-0.1,0.0,0.0,0.0,0.1,-0.1,0.0,0.0,0.1,0.0,0.0,-0.1,0.0,0.0,-0.1,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark, Bruce",Cust Value  the Enterprise,01,13270,0.2,0.4,0.4,0.2,0.1,0.2,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.2,0.2,0.2,0.3,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark, Bruce",Cust Value  the Enterprise,02,13271,-0.2,-0.4,-0.3,-0.1,-0.1,-0.2,-0.1,-0.1,-0.2,-0.1,0.0,0.0,-0.1,-0.2,-0.3,-0.2,-0.4,-0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bondy, Mary",Healthcare Leadership Seminar,01,18645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walton, Mary",Healthcare Leadership Seminar,01,18645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.3,-0.3,-0.2,-0.3,-0.2,-0.3,-0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda, Trenton",Healthcare Leadership Seminar,01,18645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.2,-0.1,-0.2,-0.1,-0.2,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grilli-Scott, Emily",Princpls/Hist of Urban Health,03,19635,-1.3,-0.9,-0.6,0.1,-1.3,-0.9,-0.6,-0.8,-0.7,-0.6,-0.7,-0.7,-0.8,-0.7,-0.3,-0.7,-0.4,-0.7,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maniar, Swapnil",Urban Community Health Assess,01,19637,1.5,0.9,0.7,-0.1,1.4,1.1,0.7,0.8,0.8,0.6,0.9,0.8,0.9,0.8,0.4,0.7,0.6,0.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Murray, Robert",Managing Oprs  Supply Chain,01,13323,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,-0.1,0.0,0.2,0.2,0.0,0.2,0.2,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Murray, Robert",Managing Oprs  Supply Chain,02,13322,-0.1,-0.3,-0.1,-0.1,-0.1,0.0,-0.1,-0.1,0.1,0.0,-0.1,-0.2,-0.1,-0.2,-0.1,-0.2,0.0,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Conte, Michael",Professional Develop for Co-op,01,52734,0.2,0.6,0.4,0.2,0.4,0.3,0.5,0.6,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sanchez, Eduardo",The Biotechnology Enterprise,01,52528,-0.1,-1.3,-0.7,0.1,-0.1,-0.5,-0.4,-0.3,-0.6,-0.4,-0.6,-0.7,-0.5,-0.4,-0.7,-0.6,-0.7,-0.7,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sundarakrishnan, Aswin",Managing  Leading Biotech Com,01,52646,-0.3,-0.2,-0.4,0.1,-0.2,-0.1,0.6,-0.4,0.1,0.7,0.3,0.3,-0.1,-0.1,-0.4,-0.1,0.5,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bennett, Jonathon",Scientific Info Mgmt Biotech,01,52405,-0.2,-0.5,0.0,0.3,-0.2,-0.1,-0.4,-0.1,-0.2,0.0,-0.5,-0.5,-0.4,-0.3,-0.1,-0.4,-0.5,-0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sundarakrishnan, Aswin",Scientific Info Mgmt Biotech,02,52547,-0.5,0.1,-0.1,-0.3,-0.9,-0.6,-0.4,-0.5,-0.4,-0.7,0.0,0.0,0.0,-0.1,-0.6,-0.3,-0.2,-0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Verma, Ruchi",Scientific Info Mgmt Biotech,03,52549,0.0,0.2,0.1,-0.1,-0.1,0.0,-0.1,0.0,0.3,0.1,-0.1,-0.1,-0.1,0.0,0.2,0.2,0.2,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karwal, Preeti",Experimental Design/Biostats,01,52548,0.2,0.5,0.3,-0.1,0.3,0.5,0.4,0.5,0.6,0.5,0.3,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shek, Yuen Lai",Experimental Design/Biostats,02,52550,0.0,0.8,0.6,0.0,0.1,0.2,0.6,0.4,0.4,0.4,0.5,0.5,0.4,0.6,0.6,0.5,0.5,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierre, Barbara",Professional Develop for Co-op,01,52634,-0.1,0.3,-0.4,-0.1,0.0,-0.4,0.1,0.1,0.8,0.7,0.1,-0.4,0.1,0.1,0.1,0.1,0.5,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Susienka, Alexander",Biotechnology Capstone,01,51709,0.1,-0.9,-0.9,0.1,-0.2,-0.4,-1.2,-0.6,-1.9,-1.3,-0.4,-0.4,0.3,-0.1,0.3,0.3,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harrison, Vanecia",Biotechnology Capstone,01,51709,0.1,-0.9,-0.9,0.1,-0.2,-0.4,-1.2,-0.6,-1.9,-1.3,-0.9,-1.2,-0.7,-1.1,-0.9,-0.6,-0.3,-0.3,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Karwal, Preeti",Biotechnology Applications Lab,01,52545,-0.1,0.3,0.2,0.1,0.0,0.2,0.0,0.0,0.3,0.1,0.0,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sundarakrishnan, Aswin",Biotechnology Applications Lab,02,52546,0.2,0.6,0.4,0.2,0.4,0.5,0.5,0.5,0.7,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Ashley",Single-Case Research Design,02,51671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beuning, Penny",Research Skills/Ethics in Chem,01,50155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mihajlovikj, Vidoje",Object-Oriented Design,01,52477,-0.2,0.3,-0.4,-0.1,0.0,-0.1,0.6,0.3,0.5,0.5,0.4,0.6,0.5,0.3,0.2,0.6,0.5,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheng, Zhuoqun",Object-Oriented Design,03,52484,0.3,0.4,0.7,0.2,0.3,0.4,0.5,0.4,0.2,0.4,0.4,0.5,0.6,0.5,0.4,0.4,0.3,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonaci, Tamara",Object-Oriented Design,04,52482,-0.4,-0.1,-0.1,-0.2,-0.4,-0.4,-0.8,-0.1,0.0,-0.3,-0.5,-0.9,-0.7,-0.1,0.0,0.0,-0.2,-0.3,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Veliz, Oscar",Object-Oriented Design,05,52522,-0.6,-1.1,-0.3,-0.4,-0.7,0.4,-0.5,-0.3,0.0,0.0,-0.7,-1.0,-0.6,-1.0,-0.4,-0.4,-0.2,-0.4,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dym, Brianna",Object-Oriented Design,06,52554,0.0,-1.3,-1.5,-1.1,-0.9,-0.3,-1.2,-0.5,-0.3,-1.3,-0.1,-1.0,-1.0,-0.3,-1.1,0.1,-0.5,-0.6,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhalerao, Rasika",Object-Oriented Design,07,52630,0.5,0.3,0.4,0.4,0.4,0.3,0.0,0.5,0.1,0.5,0.0,-0.1,-0.1,0.1,0.2,0.4,0.3,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Jack",Object-Oriented Design,08,52747,-0.9,-0.4,-0.6,-0.7,-0.1,-0.4,-0.6,-0.4,0.1,-0.4,-0.3,-0.4,-0.3,-0.2,-0.1,0.2,0.2,-0.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Jack",Object-Oriented Design,09,52748,-0.2,0.2,-0.2,-0.1,0.0,0.2,0.1,0.1,0.0,0.0,0.2,0.0,0.2,0.3,0.2,0.3,0.1,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mihajlovikj, Vidoje",Recitation for CS 5004,01,52485,0.1,0.7,0.8,0.3,0.4,0.2,0.6,0.2,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.3,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dym, Brianna",Recitation for CS 5004,02,52555,0.2,-1.1,-1.0,0.6,-0.4,-0.3,-0.7,-0.8,0.2,-1.3,0.1,-0.8,-0.8,-0.8,-1.4,0.1,0.0,0.1,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheng, Zhuoqun",Recitation for CS 5004,03,52487,0.4,0.6,0.8,0.4,0.4,0.4,0.7,0.5,0.4,0.5,0.4,0.6,0.6,0.5,0.5,0.3,0.2,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonaci, Tamara",Recitation for CS 5004,04,52488,-0.1,0.0,0.3,-0.2,-0.2,0.0,0.0,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.1,0.2,0.1,-0.2,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Rongyi",Recitation for CS 5004,05,52519,-0.3,-0.6,-0.5,-0.9,-0.9,-0.8,-0.7,-0.8,-2.3,-1.3,-0.9,-0.8,-0.8,-0.8,-0.4,-0.4,-0.5,-0.4,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Veliz, Oscar",Recitation for CS 5004,06,52523,0.2,0.4,0.5,0.1,0.1,0.2,0.8,0.7,0.7,0.7,-0.4,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.4,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhalerao, Rasika",Recitation for CS 5004,07,52631,0.3,0.3,0.6,0.2,0.4,0.5,0.0,0.3,0.3,0.3,-0.2,0.1,0.1,0.3,0.4,0.4,0.3,-0.2,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Jack",Recitation for CS 5004,08,52749,-0.9,-0.4,-0.4,-0.7,-0.3,-0.3,-0.2,0.0,0.1,-0.3,-0.1,0.0,-0.2,0.3,0.0,0.2,0.2,-0.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Jack",Recitation for CS 5004,09,52750,0.2,0.3,0.4,0.0,0.3,0.3,0.7,0.3,0.0,0.4,0.4,0.3,0.4,0.5,0.4,0.4,0.3,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coutinho, Radha",Recitation for CS 5004,10,52845,0.0,0.2,-0.7,-0.1,0.4,0.2,0.6,0.5,0.5,0.5,0.4,0.7,0.5,0.5,-0.1,0.4,0.5,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mathapathi, Shivakumar","Data Str, Algo  App in CmpSys",01,52489,0.0,0.1,0.2,-0.2,0.1,0.1,0.1,0.2,0.0,0.2,-0.1,0.1,-0.1,0.2,0.0,-0.1,-0.1,-0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamandi, Lama","Data Str, Algo  App in CmpSys",02,52490,0.1,0.6,0.1,0.2,0.2,0.4,0.7,0.6,0.6,0.6,0.5,0.6,0.4,0.6,0.5,0.3,0.4,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hussein, Rania","Data Str, Algo  App in CmpSys",03,52491,-4.3,-4.1,-4.0,-4.4,-4.4,-4.3,-4.2,-4.3,-4.3,-4.3,-4.4,-4.3,-4.3,-4.3,-4.4,-4.4,-4.5,-4.4,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Singh, Sarita","Data Str, Algo  App in CmpSys",04,52492,-0.3,-0.1,1.0,-0.4,-0.4,0.2,0.3,0.2,0.7,0.7,0.6,0.2,0.2,0.2,0.1,0.1,0.0,0.1,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hailpern, Brent","Data Str, Algo  App in CmpSys",06,52521,0.5,0.1,-0.1,0.0,0.2,0.2,0.4,0.3,0.1,0.1,0.3,0.4,0.5,0.2,0.3,0.2,0.3,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schmidt, Logan","Data Str, Algo  App in CmpSys",07,52751,0.0,0.2,0.3,0.0,0.1,0.2,0.3,0.2,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schmidt, Logan","Data Str, Algo  App in CmpSys",08,52752,0.0,0.6,0.7,0.3,-0.1,0.0,0.0,0.2,0.7,0.2,0.1,-0.1,0.2,0.2,0.3,0.1,0.2,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lionelle, Albert","Data Str, Algo  App in CmpSys",09,52793,-0.1,0.0,0.0,-0.1,-0.2,0.0,-0.2,0.1,0.0,0.0,-0.2,-0.2,0.0,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mathapathi, Shivakumar",Recitation for CS 5008,02,52494,0.3,0.3,0.5,0.2,0.1,0.2,0.1,0.1,0.5,0.3,0.2,0.1,0.3,0.3,0.1,0.2,0.1,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamandi, Lama",Recitation for CS 5008,03,52495,0.0,0.2,0.2,-0.1,0.0,0.3,0.4,0.3,0.1,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.1,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hussein, Rania",Recitation for CS 5008,04,52496,-4.3,-4.1,-4.0,-4.4,-4.4,-4.3,-4.2,-4.3,-4.3,-4.3,-4.4,-4.3,-4.3,-4.3,-4.4,-4.4,-4.5,-4.4,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Singh, Sarita",Recitation for CS 5008,05,52497,0.2,0.4,0.0,-0.4,0.1,-0.3,-0.2,0.2,0.2,-0.3,-0.4,0.2,0.2,-0.3,0.1,-0.4,0.0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kasaragod, Prathibha",Recitation for CS 5008,06,52743,0.3,0.5,0.3,-0.2,0.2,0.1,0.4,0.0,0.1,0.1,0.3,0.4,0.4,0.1,0.2,0.0,0.2,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schmidt, Logan",Recitation for CS 5008,07,52753,0.0,0.0,0.1,-0.1,-0.1,0.0,0.1,0.1,0.6,0.1,0.0,0.0,0.0,0.1,-0.1,0.0,-0.2,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schmidt, Logan",Recitation for CS 5008,08,52754,0.1,0.5,0.6,0.3,0.0,0.1,0.2,0.3,0.7,0.4,0.2,0.1,0.3,0.3,0.3,0.3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lionelle, Albert",Recitation for CS 5008,09,52794,-0.1,-0.1,0.0,-0.1,0.0,0.1,0.2,0.1,0.0,0.0,-0.1,-0.1,0.1,0.1,0.2,0.0,-0.1,-0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Srivirote, Athicha",Recitation for CS 5008,10,52909,0.7,0.9,1.0,0.6,0.6,0.7,0.8,0.7,-0.3,0.7,0.6,0.7,0.7,0.7,0.6,0.6,0.5,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feinberg, Daniel",Programming Design Paradigm,01,52500,0.1,-0.7,-1.2,0.0,-0.4,-0.3,-1.2,-0.9,-0.5,-0.7,-0.8,-0.7,-0.9,-0.7,-0.6,-0.2,-0.3,-0.2,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feinberg, Daniel",Recitation For CS 5010,01,52501,-0.5,-0.8,-0.7,0.1,-0.4,0.0,-0.9,-0.8,-0.3,-0.5,-0.9,-0.5,-0.5,-0.8,0.1,-0.1,-0.2,-0.4,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
